
Setup: imagesize =128 cellsize = 32 type = SVM nu = 0.015000

Computation time in seconds: 	1202


==========================================
RESULTS
	as 0	as 1	as 2	as 3	as 4	as 5	as 6	as 7	as 8	as 9	as 10	as 11	as 12	as 13	as 14	as 15	as 16	as 17	as 18	as 19	as 20	as 21	as 22	as 23	as 24	as 25	as 26	as 27	as 28	as 29	as 30	as 31	as 32	as 33	as 34	as 35	as 36	as 37	as 38	as 39	as 40	as 41	as 42	as 43	as 44	as 45	as 46	as 47	as 48	as 49	as 50	as 51	as 52	as 53	as 54	as 55	as 56	as 57	as 58	as 59	as 60	as 61	as 62	as 63	as 64	as 65	as 66	as 67	as 68	as 69	as 70	as 71	as 72	as 73	as 74	as 75	as 76	as 77	as 78	as 79	as 80	as 81	as 82	as 83	as 84	as 85	as 86	as 87	as 88	as 89	as 90	as 91	as 92	as 93	as 94	as 95	as 96	as 97	as 98	as 99	as 100	as 101	error
class 32	0	0	0	0.0222222	0	0	0	0	0.0222222	0	0.0222222	0	0	0	0.0222222	0	0	0	0	0	0	0	0	0	0	0	0.0222222	0.0222222	0	0.0222222	0.0222222	0	0.177778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0222222	0	0	0.0222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0444444	0	0	0	0	0.0222222	0	0	0	0	0	0	0	0	0.0222222	0	0	0	0	0	0	0	0	0	0	0.822222
class 33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0277778	0	0	0	0	0	0	0	0	0	0.0833333	0	0	0	0.416667	0	0	0	0	0	0.0277778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.583333
class 34	0	0	0	0	0	0	0	0	0.0217391	0	0	0	0	0	0	0	0	0	0.0217391	0	0	0	0	0	0	0	0	0	0	0.0217391	0.0434783	0	0	0	0.173913	0.0217391	0	0	0	0	0	0	0	0	0	0.0217391	0	0	0	0	0	0	0	0	0	0.0217391	0	0	0	0.0434783	0	0.0217391	0	0.0217391	0	0	0	0	0	0	0	0	0	0	0	0.0217391	0	0	0	0	0	0	0	0.0217391	0	0	0	0	0	0	0	0	0	0.0217391	0	0	0	0	0	0	0	0	0.826087
class 35	0.0232558	0	0	0.0232558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0232558	0	0	0	0.0232558	0	0	0	0.0232558	0.0465116	0	0	0	0	0.255814	0.0232558	0	0	0	0	0	0	0	0	0.0232558	0	0	0	0	0.0232558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0232558	0	0	0	0	0	0	0	0	0	0	0.0232558	0	0	0	0.744186
class 36	0.047619	0	0	0	0	0	0	0	0	0	0	0	0	0.0238095	0	0	0.0238095	0	0	0	0	0	0.047619	0	0	0	0	0.0238095	0	0	0	0	0	0	0	0.0238095	0.214286	0	0	0	0	0	0	0.0238095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0238095	0	0	0	0	0	0	0.0238095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.785714
class 37	0.025641	0	0	0	0	0	0	0	0	0	0	0	0	0.025641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025641	0	0	0	0	0.025641	0.025641	0	0	0.282051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025641	0	0	0.025641	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.717949
class 38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025641	0	0	0.025641	0.025641	0	0	0	0	0	0	0	0.230769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025641	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025641	0	0	0	0	0	0	0	0.025641	0	0	0	0	0	0	0	0.025641	0	0	0.025641	0	0	0	0	0	0	0	0	0.769231
class 39	0	0	0	0	0	0	0	0	0	0	0.025641	0	0	0.025641	0	0	0	0	0	0.025641	0	0	0	0	0	0	0	0	0	0	0.025641	0	0	0	0	0	0	0	0	0.307692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0512821	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.692308
class 40	0	0	0	0.0384615	0	0	0	0	0.0192308	0	0.0192308	0	0	0	0	0	0	0.0192308	0	0	0	0	0	0	0.0384615	0	0	0	0	0	0.0192308	0	0	0	0	0	0	0	0	0	0.192308	0	0	0	0	0.0192308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0384615	0	0	0	0	0	0.0192308	0	0	0	0	0	0.0961538	0	0	0	0	0	0	0	0	0.0192308	0.0192308	0	0	0	0	0	0	0.0192308	0.0192308	0	0	0	0	0	0	0	0	0	0	0.807692
class 41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0434783	0	0	0	0	0.0217391	0	0	0	0	0.0217391	0.0217391	0	0	0	0	0	0	0	0	0	0.0217391	0.282609	0	0	0	0	0	0	0.0217391	0	0	0.0434783	0	0	0.0217391	0	0.0217391	0	0.0217391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0217391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0434783	0	0	0	0	0	0	0.717391
class 42	0	0	0	0	0	0	0.0227273	0	0	0	0	0	0	0	0.0227273	0.0227273	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0454545	0.0454545	0	0	0	0	0	0	0	0	0	0	0	0.136364	0	0	0	0	0	0	0	0	0	0.0227273	0	0	0	0	0.0227273	0	0	0.0227273	0	0	0	0	0	0	0	0	0	0	0	0	0.0227273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0227273	0.0227273	0	0	0	0	0	0	0.863636
class 43	0.0392157	0	0	0.0196078	0	0	0	0	0.0196078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0196078	0.0196078	0.0196078	0.0196078	0	0	0.0196078	0	0	0.0196078	0.0196078	0	0	0	0	0.215686	0	0	0	0	0.0196078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0392157	0	0	0	0	0.0196078	0.0196078	0	0	0	0.0196078	0	0.0196078	0	0	0	0	0	0	0	0	0	0.0196078	0.0196078	0	0	0	0	0	0.784314
class 44	0.025641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0512821	0	0	0	0	0	0	0.025641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.358974	0	0	0	0	0	0	0	0	0	0	0	0	0.025641	0	0	0.025641	0	0	0	0	0	0	0	0	0	0	0	0	0.025641	0	0	0	0	0	0	0	0	0.025641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.641026
class 45	0.0232558	0	0	0	0	0	0	0.0232558	0	0	0	0	0	0	0	0	0	0	0	0.0232558	0	0	0	0	0	0	0	0	0	0.0465116	0	0	0	0	0	0	0	0	0.0465116	0	0	0	0	0	0	0.0930233	0	0	0	0	0	0	0	0	0.0232558	0	0	0	0	0.0232558	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0232558	0.0465116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.906977
class 46	0.0232558	0	0	0	0	0	0	0.0232558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0232558	0	0	0	0	0	0.0465116	0	0	0	0	0	0.372093	0	0	0	0	0	0	0.0232558	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0232558	0	0	0	0	0.0232558	0.0465116	0	0	0	0	0	0	0	0	0.0232558	0	0	0	0.0232558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.627907
class 47	0.0238095	0	0	0	0	0	0	0	0	0	0	0	0.0238095	0	0	0	0	0	0	0	0	0	0.0238095	0	0	0	0	0.047619	0	0	0.0238095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333	0	0	0	0	0	0	0	0	0	0	0.0238095	0	0	0	0	0	0	0	0	0	0	0.0238095	0	0	0	0.0238095	0	0	0	0	0	0	0	0	0	0	0	0	0.0238095	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0238095	0	0.666667
