
Setup: imagesize =256 cellsize =  LBP 32 type = SVM nu = 0.006811

Computation time in seconds: 	4246


==========================================
RESULTS
	as 0	as 1	as 2	as 3	as 4	as 5	as 6	as 7	as 8	as 9	as 10	as 11	as 12	as 13	as 14	as 15	as 16	as 17	as 18	as 19	as 20	as 21	as 22	as 23	as 24	as 25	as 26	as 27	as 28	as 29	as 30	as 31	as 32	as 33	as 34	as 35	as 36	as 37	as 38	as 39	as 40	as 41	as 42	as 43	as 44	as 45	as 46	as 47	as 48	as 49	as 50	as 51	as 52	as 53	as 54	as 55	as 56	as 57	as 58	as 59	as 60	as 61	as 62	as 63	as 64	as 65	as 66	as 67	as 68	as 69	as 70	as 71	as 72	as 73	as 74	as 75	as 76	as 77	as 78	as 79	as 80	as 81	as 82	as 83	as 84	as 85	as 86	as 87	as 88	as 89	as 90	as 91	as 92	as 93	as 94	as 95	as 96	as 97	as 98	as 99	as 100	as 101	error
class 33	0	0	0	0	0	0	0	0	0	0	0.0294118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.529412	0	0	0	0	0	0.0294118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0294118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.470588
class 34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.047619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0238095	0	0.285714	0	0	0	0	0	0	0	0.0238095	0	0	0	0	0	0.0238095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0238095	0	0	0	0	0.0238095	0	0	0	0.047619	0.047619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.714286
class 35	0	0	0	0	0	0.0724638	0.0144928	0	0	0	0	0.0144928	0.0144928	0	0.057971	0	0	0	0	0	0	0	0.0434783	0	0	0	0	0	0	0	0	0	0	0	0	0.0289855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.057971	0	0	0	0	0	0	0	0	0	0	0	0.0144928	0.0289855	0.0434783	0	0	0.057971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0144928	0.0434783	0	0	0	0	0	0	0.0289855	0	0.0144928	0	0	0	0	0.0144928	0.0144928	0.971014
class 36	0	0	0	0	0	0.0363636	0	0.0181818	0	0	0	0	0	0	0.0181818	0	0	0	0.0181818	0	0	0	0.0363636	0	0	0	0	0	0.0181818	0	0	0	0	0	0	0	0.109091	0	0	0	0	0	0	0	0	0	0	0.0181818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0181818	0.0363636	0.0181818	0	0.0181818	0	0	0	0	0	0	0.0181818	0	0	0	0	0	0	0	0	0.0181818	0.0363636	0	0	0	0	0	0	0.0545455	0	0.0181818	0	0	0	0	0.0363636	0	0.890909
class 37	0	0	0	0	0	0.0227273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0454545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227273	0	0	0	0	0	0	0.0227273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0227273	0.0227273	0.0227273	0	0	0.0227273	0	0	0.0227273	0	0	0.0227273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0227273	0	0.0227273	0	0	0	0	0.0227273	0	0.772727
class 38	0	0	0	0	0	0.0238095	0	0	0	0.0238095	0	0	0	0	0	0	0	0	0	0	0	0	0.0238095	0	0	0	0	0	0	0	0	0	0	0	0.0238095	0	0	0	0.261905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0238095	0	0	0	0	0	0	0.0238095	0	0	0	0	0	0.0238095	0.0238095	0	0	0.0238095	0	0	0	0	0	0	0.0238095	0	0	0	0	0	0	0	0.0238095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.738095
class 39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0222222	0	0.111111	0	0	0	0.0222222	0	0	0	0	0	0.0444444	0	0	0	0.0222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0444444	0	0	0	0	0	0	0	0	0	0	0.0222222	0	0	0	0	0	0	0	0.0222222	0	0	0	0	0	0	0	0.0222222	0.0222222	0	0	0	0	0	0	0.888889
class 40	0	0	0.0238095	0	0.0238095	0	0	0	0	0	0	0	0.0238095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166667	0	0	0	0	0	0	0	0	0.0238095	0	0	0	0	0	0	0	0	0.0238095	0	0	0	0	0	0	0	0	0.0238095	0	0	0.0238095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0238095	0	0	0	0	0	0	0	0	0	0	0.047619	0.0238095	0	0.833333
class 41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0285714	0	0	0	0	0	0	0	0.228571	0	0	0	0	0	0	0	0	0	0	0	0.0285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0285714	0	0	0	0	0	0	0	0.771429
class 42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.323529	0	0	0	0	0	0	0	0	0	0.0294118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0294118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0294118	0	0	0.676471
class 43	0	0	0	0	0	0	0	0	0	0	0	0	0.03125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6875
class 44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0925926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166667	0	0	0	0	0.111111	0	0	0	0.037037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0185185	0	0.0185185	0	0	0	0	0	0	0	0.037037	0.0185185	0	0	0	0	0	0	0	0	0	0	0	0	0.0925926	0	0.833333
class 45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.46875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.53125
class 46	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.04	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16	0	0	0.06	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.02	0	0	0.04	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0.02	0	0.02	0	0	0	0	0.02	0	0.84
